Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,DaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
AL,Alabama,Southeast,Autauga,55514,77.246156,17.582599,2.400542,0.855766,54366,73.3,78.8,11,30.9,8376.42,22.8,5.1,3.6,9.3,7.445188843,29.4,59.29889502,86.82170543,66.58823529,80,54.73219825,6.452119309,18.5,23.7,30.12494851,30.12494851,69.6
AL,Alabama,Southeast,Baldwin,190790,83.504787,9.308425,4.384824,0.735193,49626,75,80.3,16.1,26.7,7770.16,12.7,3.3,3.8,8.9,7.993460624,27.6,58.02265932,80.2134647,67.08310701,74,61.78453433,6.765938646,20.5,19.3,27.87998666,27.87998666,76.2
AL,Alabama,Southeast,Barbour,27201,46.753105,46.69119,5.051535,0.3897,34971,72.2,77.2,15.3,40.8,9458.14,23.4,4.8,4.3,12.3,5.403317403,35,11.47612631,87.63796909,64.53900709,60.64006024,41.40708915,11.17957747,47,17.6,55.90787717,55.90787717,52.7
AL,Alabama,Southeast,Bibb,22597,75.020729,21.924504,1.771765,0.096007,39546,71.5,76.8,13.6,40.1,11543.9,17.9,4.7,5.1,12.7,7.798603036,37,18.25005455,82.74760383,61.95652174,73,44.19817471,7.640647363,27.2,29.1,39.28164196,39.28164196,98.1
AL,Alabama,Southeast,Blount,57826,88.887338,1.26304,8.0702,0.200621,45567,73.1,78.6,16.5,32.4,8505.64,24.2,5.9,3.9,7.7,8.648064123,35,15.18090785,83.50877193,62.75659824,81.03085554,46.27605404,6.218225966,23.1,14.3,25.33629078,25.33629078,89.3
AL,Alabama,Southeast,Bullock,10474,21.916804,69.974345,7.119296,0.183251,26580,67.2,76.4,17.3,44.5,9883.66,23,4.2,0,13.7,3.702147309,32.5,28.82536192,81.37254902,48.51485149,72.5,35.95364861,13.38805548,43.2,0,65.42173731,65.42173731,102.5
AL,Alabama,Southeast,Butler,20307,54.060247,43.189956,0.911825,0.830668,32512,69.4,78.1,14.4,36,11005.65,19.9,3.9,3.5,10.4,6.352247144,36.9,47.32419917,77.60532151,58.05084746,72,46.16977226,10.85027519,42.1,27.6,49.38619441,49.38619441,70.8
AL,Alabama,Southeast,Calhoun,117296,73.613501,20.390143,3.283237,0.699997,41123,70.8,75.8,14.2,32,11097.28,22.7,5.2,5.1,9,6.641993038,33.3,40.51293729,79.72789116,55.17762661,78.72233677,50.79635176,7.572748797,31.4,22.4,38.75954414,38.75954414,78.4
AL,Alabama,Southeast,Chambers,34064,58.141166,38.597107,1.566564,0.485167,34116,70.1,76.4,14.9,39.8,10367.83,38.5,5,4.3,11.7,6.070974949,38.7,34.3504311,83.86683739,65.81986143,79.9875,47.07966764,9.277576915,34.7,32.6,51.64821015,51.64821015,77.5
AL,Alabama,Southeast,Cherokee,26021,92.07357,4.640425,1.23129,0.188541,38013,72.2,77.1,14.6,32.7,9408.68,24.2,6.1,5.2,8.9,8.166343916,34.2,14.91784986,88.37675351,59.61538462,72,53.46534654,7.10606722,29.9,23,25.82893745,25.82893745,80.9
AL,Alabama,Southeast,Chilton,43819,81.101208,9.557088,7.836308,0.286415,41450,70.8,76.9,17.7,37.1,10330.43,20.5,4.6,4.9,9.8,8.104912606,31.5,42.65517953,86.75496689,61.05263158,73,43.33563536,6.516064257,30.2,22.6,29.92365008,29.92365008,99.3
AL,Alabama,Southeast,Choctaw,13633,55.559564,43.221012,0.526734,0.086586,35049,71.5,78.6,14.3,38.7,11985.42,31.6,5.6,4.6,11.6,5.999649346,37.9,30.30521683,84.12698413,55.39906103,77.5,43.5016835,8.954326923,30.1,26.8,45.70780693,45.70780693,80.7
AL,Alabama,Southeast,Clarke,25161,53.9736,43.66508,1.049046,0.286455,36620,72.3,77.4,15.1,36.1,9309.47,21.8,4.4,3,12.9,5.143735803,37,12.51500019,78.78787879,62.74509804,77.90909091,45.84940466,12.12628058,31.8,27.7,48.07571965,48.07571965,72.3
AL,Alabama,Southeast,Clay,13435,80.28998,14.699971,2.86391,0.165088,35940,71.7,76.6,17.8,37.7,9914.91,28.6,6,5.3,10.7,7.462189551,39.4,21.10967557,85.71428571,60.78431373,82.5,40.9221902,9.318001586,30,26.6,34.78823149,34.78823149,65.5
AL,Alabama,Southeast,Cleburne,14832,93.213999,3.299492,2.050494,0.15362,40418,71.7,76.6,14.3,30,10738.45,20,5.9,5.2,8.5,8.443377688,34.7,28.41303767,86.39705882,48.80952381,92,47.05563094,6.919642857,26,24.5,30.39843968,30.39843968,85
AL,Alabama,Southeast,Coffee,51252,72.343237,16.531192,6.366621,1.25931,46931,74.1,78.4,15,30.2,8402.75,18.4,3.5,3.6,8.9,7.391403319,30.6,18.81156403,86.09062171,66.96750903,84.77658143,59.41029334,6.191193075,22.5,22.7,36.28288922,36.28288922,67.9
AL,Alabama,Southeast,Colbert,54446,79.617109,15.988094,2.008158,0.411553,43057,70.4,77.8,13,36.6,10591.14,25.9,4.4,4.8,10.2,7.493693421,30.7,52.07981186,89.21496698,64.04341927,75.61890244,56.35042081,7.564775139,25.3,20.7,33.06546124,33.06546124,77.1
AL,Alabama,Southeast,Conecuh,12981,51.133958,46.280617,1.217115,0.128515,29101,69.4,78.1,16.6,37.2,12941.65,18.3,4.4,5.2,12.4,4.776146729,37.3,2.819776232,73.71794872,58.18181818,77.5,40.59068535,11.6419295,46.3,0,47.93745842,47.93745842,116.5
AL,Alabama,Southeast,Coosa,10966,65.898258,30.817229,1.99324,0.121328,34679,70.8,76.9,15.5,38.8,11435.34,25.8,4,4.6,12.4,6.946556973,31.8,17.63584366,80.5,57.57575758,47.5,29.42073171,8.178175819,31.1,0,41.58632778,41.58632778,101.2
AL,Alabama,Southeast,Covington,37955,84.075202,12.405667,1.278962,0.391897,36149,72.2,77.5,15.4,31.6,9829.79,25,4.2,5.2,9.5,7.605558416,38.5,47.78763405,82.58928571,63.38028169,77.0418251,49.15174915,7.523567803,34,15.1,39.36608931,39.36608931,83
AL,Alabama,Southeast,Crenshaw,14083,72.055228,23.306486,1.466993,1.359126,34445,70.2,76.4,16.3,36.6,9645.21,20.3,4,3.8,8.9,6.181910691,33.9,30.39695096,76.72727273,57.14285714,87.5,43.40361446,7.211389663,29,17.7,45.03311258,45.03311258,86.1
AL,Alabama,Southeast,Cullman,80440,92.739348,1.021068,4.295699,0.42161,39922,72.3,77.7,16.4,34.7,9060.4,21.4,3.9,4.4,9.1,8.172499789,31.5,33.51118076,87.20682303,67.16049383,76.9275766,53.54949149,6.404920822,25.6,16.7,27.05466413,27.05466413,79.6
AL,Alabama,Southeast,Dale,50444,71.053312,18.996637,5.613819,1.048735,41940,73.4,78,13.8,36.2,8911.89,21.2,4.9,3.9,8.5,6.796519184,31.1,20.68018547,85.38812785,64.35845214,76.56216216,62.78914095,7.281333401,28,17.1,31.64402506,31.64402506,68
AL,Alabama,Southeast,Dallas,42864,28.92743,69.178457,0.705157,0.328617,26602,68.6,75.4,14.3,42.4,12898.83,25.2,3.9,3.6,12.8,3.694419786,34.5,45.19853948,75.25773196,62.01923077,71.01290323,43.39298352,13.73064159,59.6,33.4,65.29585285,65.29585285,80.8
AL,Alabama,Southeast,DeKalb,71080,81.560703,1.447074,13.626967,0.233444,36241,72.1,77.3,20.9,30.6,9152.78,20.4,4.7,4.9,8.7,7.886899646,31.3,40.85699419,87.5,53.72262774,86.01183432,39.00234167,8.4756054,30.4,26.2,33.72852517,33.72852517,78.3
AL,Alabama,Southeast,Elmore,80629,74.964377,19.941238,2.68464,0.648147,54298,72.9,78.4,11.5,30.3,8604,16.7,4.4,4.4,8.8,7.620554952,30.9,38.05404588,83.06737589,66.24293785,74.40302491,56.46871445,6.839602494,20.5,14.9,30.22470102,30.22470102,78.1
AL,Alabama,Southeast,Escambia,37994,61.348156,31.738824,1.873744,0.224432,37077,71,77.7,17,39.4,10537.95,28.1,5.2,4.7,11,6.379222364,38.7,27.09099924,77.39331027,61.47186147,76.53125,45.7961346,8.921133019,37.6,20.5,50.62900275,50.62900275,104.2
AL,Alabama,Southeast,Etowah,104392,79.277028,15.049315,3.300776,0.62913,39904,70.3,75.3,14.6,34.7,11523.52,22.7,5.2,5,8.9,7.088419066,33.8,28.57895241,83.39622642,56.01469238,75.04199855,55.01744699,7.213338619,31,24.7,35.88866363,35.88866363,78.2
AL,Alabama,Southeast,Fayette,16983,86.027493,11.35665,1.183226,0.214605,35664,70.4,75.8,14.6,32.4,11965.06,31.8,5.6,5.2,9.6,7.703609764,32.1,17.21477873,82.16216216,61.32075472,82.5,38.88450408,7.962129443,27.5,28.2,33.44855092,33.44855092,114.4
AL,Alabama,Southeast,Franklin,31761,79.639793,3.819707,14.85617,0.160863,33881,70.7,74.9,19.9,34.2,10556.16,24,5,4.4,8.5,7.70317954,37.4,22.46719657,85.56998557,53.25,85.43300248,45.22355241,8.159378333,31.4,24.3,32.38636364,32.38636364,92.4
AL,Alabama,Southeast,Geneva,26931,84.703247,9.417693,3.434117,0.238895,34425,72.2,78.1,17.2,34.7,9113.55,28.3,4.3,3.4,8.6,8.023975343,34.5,20.05972378,87.01298701,59.3373494,76.57852564,50.47258979,6.936681023,35.8,24.4,43.25101489,43.25101489,88.9
AL,Alabama,Southeast,Greene,8876,17.26921,81.249309,0.762852,0.165837,26504,70,77.9,15.1,45.9,10934.56,27.1,5.1,5.3,16,3.021139734,36.5,1.603095633,83.5978836,52.63157895,67.5,37.64961915,11.362148,48.2,0,49.45652174,49.45652174,82
AL,Alabama,Southeast,Hale,15388,39.422589,58.788071,0.888325,0.222081,33315,68.1,76.8,14,35.9,13942.57,21.1,3.9,4.1,13.9,6.303134099,38.3,17.89974619,76.96969697,55.55555556,67,40.91295719,9.888751545,38.7,0,54.91655969,54.91655969,82.8
AL,Alabama,Southeast,Henry,17287,67.80141,28.407121,2.248295,0.260086,39930,71.9,78.5,15.1,35.2,9577.3,18.4,4,3.5,8.9,7.957093301,30.3,30.41266906,85.40669856,56.22317597,72,56.42729364,7.297718577,29.2,16.3,32.55386232,32.55386232,87.5
AL,Alabama,Southeast,Houston,103402,68.668695,25.641329,2.949373,0.793721,40124,73.3,79.1,13.5,33.6,8369.78,20.7,4.5,4.3,8.7,7.022393868,33.1,31.63953637,85.84353379,64.36363636,71.14555468,53.66532043,7.00513002,28.9,19.8,40.66536681,40.66536681,65.1
AL,Alabama,Southeast,Jackson,53019,90.061435,3.327259,2.515641,0.309993,36923,70.7,76.3,15.7,30.6,11018.07,28,5.8,5.3,8.7,7.976405467,32.3,26.06759727,86.45753634,52.0055325,79.51750381,46.43601823,7.070864303,25,22,22.94747578,22.94747578,93.6
AL,Alabama,Southeast,Jefferson,660009,51.667512,41.84134,3.870815,1.379722,44852,72,77.5,12.6,33.7,10485.15,17.8,3.7,3.9,11.6,6.180426967,29.9,73.99896122,84.51532431,66.13333333,72.71435782,65.78916203,6.771873098,27.6,22.6,42.23319901,42.23319901,79.3
AL,Alabama,Southeast,Lamar,14259,86.116452,11.226311,1.235924,0.027465,34553,71.8,77.2,14,32.5,10051.33,28.5,7.1,6,9.1,7.86395423,37.3,2.183466081,76.63551402,59.70149254,72.5,46.05575326,7.571752266,30.8,21.5,37.69779708,37.69779708,82.7
AL,Alabama,Southeast,Lauderdale,92542,85.458801,9.912738,2.245737,0.728085,41324,72.8,78.8,13.7,31.6,8600.82,19.2,4.6,3.6,10,7.602457012,32.6,58.16479522,86.77639047,65.12641674,81.44708029,58.01021805,6.678541634,29.3,19.3,30.60139719,30.60139719,73.2
AL,Alabama,Southeast,Lawrence,33838,76.938758,11.406855,1.671569,0.119398,41574,70.4,77.5,16.1,36.3,10855.34,23.5,4.6,5.5,10,8.049692003,34.8,31.19485134,84.23194303,59.61165049,79,49.69462063,8.080808081,28.8,25,36.29319106,36.29319106,101.1
AL,Alabama,Southeast,Lee,147257,69.805415,22.58444,3.25925,2.577595,41256,76.3,78.7,13.4,29.5,7014.1,17.5,3.7,5.2,8,6.566382676,26.4,42.98416365,84.81642813,62.52566735,86.91428571,65.44412453,6.278822794,21.2,17.1,29.73628078,29.73628078,46.7
AL,Alabama,Southeast,Limestone,87654,78.65478,12.502718,5.545892,1.100481,51175,74.6,79.5,14.4,33.5,7448.38,20.7,3.6,3.1,9.3,8.090040084,30.3,56.74301177,88.43700159,64.60176991,82.01621622,55.24105887,6.226877312,18.9,25.4,27.75849057,27.75849057,64.7
AL,Alabama,Southeast,Lowndes,10857,25.143818,73.307372,0.76998,0.123905,30675,70.2,76.4,14.4,46.4,15671.47,35.8,4.8,4.2,13.7,2.635514225,36,12.00106204,83.05785124,60.48387097,62.5,45.46553809,14.09820126,42.8,35,57.38595221,57.38595221,93.7
AL,Alabama,Southeast,Macon,20535,15.229349,82.188141,1.081484,0.354279,28518,67.2,76.4,13,42.4,13905.84,24.7,3.7,2.9,11.5,3.560185314,33,50.92299086,81.84818482,59.09090909,86,51.85704275,9.792909793,49,19.1,64.31791222,64.31791222,93.2
AL,Alabama,Southeast,Madison,343080,66.1403,23.749817,4.600805,2.439287,58833,75.1,79.5,12.5,31.2,7760.43,14.1,3.4,3.5,10.4,7.34102617,26.3,65.62926547,85.63853292,67.02886248,73.83387271,70.26236102,6.230609382,17.4,20.6,31.96381407,31.96381407,55.8
AL,Alabama,Southeast,Marengo,20401,45.688876,51.543254,1.674038,0.252057,32977,70.1,77.1,13.3,41.3,9872.84,26.4,4.8,4.5,12.2,5.098039233,34.4,13.24963143,75.73839662,50.82644628,86.91642651,54.99139415,9.354500131,36.4,23.4,45.84342212,45.84342212,68.5
AL,Alabama,Southeast,Marion,30327,92.633871,3.827658,2.053548,0.172212,37707,70.3,76.4,15.4,34.9,10664.24,23.7,4.6,4.3,9,7.835200472,42.3,27.23875747,89.46700508,54.75,72.90469974,47.36042012,9.115924019,30.8,20.8,31.01120147,31.01120147,98.1
AL,Alabama,Southeast,Marshall,94776,83.918339,1.493243,12.081403,0.510648,36536,71.5,76.6,18.8,35,10231.61,21.2,4.8,4.8,8.1,7.620435427,35.1,30.35831389,82.07434053,60.09009009,82.44633731,44.72579209,7.037955842,35.6,18.9,31.62906408,31.62906408,74.2
AL,Alabama,Southeast,Mobile,413936,59.057803,34.449093,2.405858,1.817711,42943,71.7,77.8,14.9,36.1,10188.12,22.6,4.5,4.8,11.9,6.167062063,30.7,69.35751782,84.1350826,61.01110686,64,56.69565383,8.377859319,30.9,24.4,43.67193393,43.67193393,84.6
AL,Alabama,Southeast,Monroe,22602,54.712155,41.533726,0.953702,0.290446,34733,70.8,77.7,17.7,37.2,10721.71,25.7,5,5,14.8,4.512303958,34.6,50.30345067,77.80429594,65.27777778,79,40.71673656,12.27125942,33.3,23.8,50.71180556,50.71180556,88.2
AL,Alabama,Southeast,Montgomery,230149,38.410293,54.467373,3.624822,2.089265,43054,73.3,78,13.9,33.6,9321.49,21,4,3.8,11.9,5.656827264,29.3,80.73534092,82.85115304,67.13735558,66,61.26958035,7.721486,31.3,22.1,49.04807022,49.04807022,58.7
AL,Alabama,Southeast,Morgan,120395,77.483471,11.765838,7.662566,0.556532,45082,72.9,77.9,16.1,32.2,8919.59,14.9,4.5,4,9.2,7.896198644,30.1,55.04393673,84.28893905,65.6776263,70.72322503,53.91608841,7.026741731,23.3,26.6,32.13682432,32.13682432,76.4
AL,Alabama,Southeast,Perry,10181,29.666698,68.397696,1.076386,0.283259,27403,68.1,76.8,15.3,37.8,13472.66,27.2,5.2,4.2,13.5,4.75062607,33.5,11.18874516,67.63285024,58.92857143,87.5,36.19489559,12.90135956,51.2,0,63.79984363,63.79984363,74.8
AL,Alabama,Southeast,Pickens,19405,55.844222,41.370404,1.585131,0.162058,31933,71.6,76.4,14.3,37.4,11568.09,26,5.2,3.3,12.1,6.505500254,34.7,6.254431277,87.38738739,64.0167364,75,43.52567015,8.980015572,34.1,30.4,48.74591058,48.74591058,75.3
AL,Alabama,Southeast,Pike,33182,57.40904,36.444877,2.218912,1.960546,31844,71.5,77.3,15.2,34.1,10833.61,23.8,4.7,3.8,9.4,6.306697178,32.6,31.00398188,85.17786561,66.1237785,69.98466258,57.37704918,6.968483596,33.5,21.2,45.95086442,45.95086442,73.4
AL,Alabama,Southeast,Randolph,22675,75.415703,20.093397,2.832453,0.235674,36939,70.7,77.5,16.8,33.2,11072.81,22.3,4,4.8,10,7.170951799,34.9,15.14424126,83.94308943,55.31135531,79.76027397,40.58511683,8.864588181,34.8,15,43.85931194,43.85931194,100.8
AL,Alabama,Southeast,Russell,57820,52.110601,41.411223,3.675373,0.421176,35585,68.8,76.1,14.8,34.8,12304.68,21.3,5,5,10.7,6.117027961,35.2,52.40334674,77.83842795,54.83870968,64.57345972,56.1450168,9.13453225,36.5,20.9,47.76599634,47.76599634,88.3
AL,Alabama,Southeast,St. Clair,85237,87.264484,8.491142,2.052803,0.612491,50571,72.3,78.5,13.4,33.1,9241.2,19.3,4.2,4,8.7,8.478224104,34,39.46981207,85.58897243,60.44776119,76.27079108,51.21299608,6.356716181,21,22.2,29.95945261,29.95945261,79.4
AL,Alabama,Southeast,Shelby,200941,80.155317,10.562575,5.92921,1.896097,69432,77.3,81,10.6,31.3,6212.02,12.3,3.3,3.6,8.4,8.681659383,24.5,78.76771664,84.7826087,70.07874016,86,74.47171038,4.970275988,12.3,20,20.1271358,20.1271358,64.6
AL,Alabama,Southeast,Sumter,13427,24.006394,74.714815,0.624864,0.239773,25413,70,77.9,16.7,39.6,10936.76,27.7,4.3,5.4,13.5,3.895988822,31.2,19.55968902,78.64768683,67.1641791,80,49.01603499,11.63985702,45,0,61.84424894,61.84424894,66.3
AL,Alabama,Southeast,Talladega,81762,64.501586,31.538078,2.030599,0.399801,39999,70.5,76.1,13.5,37.6,11323.12,29.9,5.6,5.1,12.5,6.628365379,36,43.0982732,82.21503638,57.18050066,74.37779851,46.12767566,8.131647493,34.8,27.9,40.55137041,40.55137041,76
AL,Alabama,Southeast,Tallapoosa,41168,69.295463,26.552288,2.503845,0.473376,36779,72.6,78.5,14.3,36.5,9863.78,26.5,5.8,5.2,12.6,6.961531746,32.1,19.27383699,79.19896641,62.52465483,77,44.62188337,8.532856401,38,31.9,42.95513937,42.95513937,69.8
AL,Alabama,Southeast,Tuscaloosa,198596,65.043461,29.488431,3.056161,1.177976,46892,72.4,77.9,12.2,32.7,9445.69,17.6,4.3,4.1,11.5,6.719021396,28.5,57.49270508,85.50932568,69.70458831,66.83809118,61.1146347,6.618518918,25.7,18.4,37.21873937,37.21873937,73
AL,Alabama,Southeast,Walker,66221,90.397326,5.796518,1.950077,0.283485,37245,68.2,75,15.2,32.9,14299.82,35,6.5,6.5,10.4,7.758877801,38.4,47.8149292,88.57404022,64.6234676,76.32636248,51.49493452,7.479467056,28.2,23.1,30.81368004,30.81368004,141.4
AL,Alabama,Southeast,Washington,17109,65.155566,24.799499,0.858882,0.102383,41321,71.5,77.8,15.1,36,11044.74,21.1,4.6,3.2,9.7,7.063712702,32.1,8.799271941,82.64705882,59.375,85,38.20696468,11.43596772,28.8,0,30.75695394,30.75695394,85.5
AL,Alabama,Southeast,Wilcox,11431,26.649529,72.150814,0.616967,0.034276,24035,70.1,77.1,16.3,44.4,12975.31,30.5,4.1,3.6,12.6,1.858209615,33,5.801199657,73.80073801,50,72,32.89865872,16.37554585,51,0,70.22973835,70.22973835,109.8
AL,Alabama,Southeast,Winston,24108,94.906878,0.469694,2.609868,0.240974,35528,70.2,76.8,16.3,28.7,12620.9,21.1,4.6,6.5,9.7,7.511556291,35.1,66.5781735,83.46972177,54.43786982,87.5,45.64359986,9.760159893,40.3,28.3,35.38992144,35.38992144,108.5
AK,Alaska,West,Aleutians East,3161,13.530723,6.749443,12.257243,35.434575,55462,75.8,80.1,39.3,31.1,0,17,2.9,3.8,0,4.837387912,31.4,68.86341929,0,0,0,41.3509061,12.59640103,14.4,0,39.44223108,39.44223108,0
AK,Alaska,West,Aleutians West,5547,31.379248,5.718396,13.055206,28.322244,68387,75.8,80.1,25.2,36.2,0,12.2,2.1,2.1,0,7.001522309,23.4,89.55223881,0,0,0,46.56410256,9.082426128,8.7,28.7,28.88349515,28.88349515,0
AK,Alaska,West,Anchorage,298610,62.644864,5.245592,7.559642,7.952684,75200,75.8,80.1,16.7,27,6826.82,12.5,3.3,3,6.4,8.185090337,20.5,87.15947174,73.32382311,55.8380903,71.81778237,70.32176222,5.446462124,12.8,16,31.85551627,31.85551627,66
AK,Alaska,West,Bethel,17746,10.897549,0.382061,1.063892,0.928702,45808,75.8,80.1,26,31.6,13344.76,21.1,3.3,2.6,5.1,3.210394211,28.3,95.66801857,24.52830189,0,40.82515337,40.00932618,15.2058247,35.1,47.7,29.28087714,29.28087714,153.4
AK,Alaska,West,Bristol Bay,991,47.74323,0,2.407222,0.802407,75364,75.8,80.1,21.7,34.1,0,16.7,1.4,1.3,0,8.227377668,23.1,59.47843531,0,0,0,69.44444444,4.391217565,12,8.9,39.28571429,39.28571429,0
AK,Alaska,West,Denali,1875,88.389923,0.547645,2.30011,1.040526,69692,,,20.9,24.7,0,6.5,2.7,2.3,0,6.421383709,20.4,33.68017525,63.63636364,68,0,79.5620438,10.22058824,6.4,19.1,13.21695761,13.21695761,0
AK,Alaska,West,Dillingham,5034,17.639777,0.226945,2.083763,0.660202,51082,75.8,80.1,25.4,35.3,9699.28,12.1,2.7,2.3,5.1,5.892471562,28.8,59.56261605,0,0,0,51.51228734,9.590316574,28.8,30.5,35.13011152,35.13011152,162.1
AK,Alaska,West,Fairbanks North Star,100272,74.050276,4.256976,5.791086,2.574272,67801,75.8,80.1,16.6,28.6,5740.13,11,3.5,3,5.7,7.525730564,22.5,69.19277318,79.96575342,57.16753022,67.64569805,69.0640945,6.24237103,13.2,16.8,32.20703363,32.20703363,63.4
AK,Alaska,West,Haines,2552,82.216906,0.358852,1.874003,0.518341,67260,75.8,80.1,24.5,26.5,0,11.8,3.1,2,0,8.192010115,22.7,84.40988836,61.76470588,60.52631579,0,65.93406593,8.136882129,17.6,16.9,19.55403088,19.55403088,0
AK,Alaska,West,Hoonah-Angoon,2129,46.186047,0.372093,3.581395,0.55814,51687,75.8,80.1,29.7,31.5,,,,,,,,,,,,,,,,,,
AK,Alaska,West,Juneau,32556,67.354117,0.828137,5.077538,6.007994,80835,75.8,80.1,17.4,27,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41,5867.41
AK,Alaska,West,Kenai Peninsula,56900,82.814079,0.447653,2.962094,1.108303,62532,75.8,80.1,20.9,28,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64,8655.64
AK,Alaska,West,Ketchikan Gateway,13779,66.171997,0.563924,3.991986,6.945166,57776,75.8,80.1,21.1,29.3,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64,8421.64
AK,Alaska,West,Kodiak Island,14239,52.508829,0.625368,7.32784,19.276045,67972,75.8,80.1,24.8,29.3,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6,6890.6
AK,Alaska,West,Lake and Peninsula,1654,22.194972,0.551809,2.636419,0.367872,45570,75.8,80.1,30,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska,West,Matanuska-Susitna,93925,82.786673,0.918029,3.709197,1.207933,73981,75.8,80.1,18.5,28.9,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02,6519.02
AK,Alaska,West,Nome,9915,15.918668,0.28445,1.211547,0.927097,47160,75.8,80.1,27.4,33.3,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73,17793.73
AK,Alaska,West,North Slope,9643,32.439024,0.965005,2.640509,4.390244,75682,75.8,80.1,23.3,35.3,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4,10564.4
AK,Alaska,West,Northwest Arctic,7810,11.032833,0.46524,0.770969,0.558288,65192,75.8,80.1,27.8,32.5,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76,13603.76
AK,Alaska,West,Petersburg,3844,69.436435,0.393185,3.407602,2.516383,56655,75.8,80.1,20.4,29.8,,,,,,,,,,,,,,,,,,
AK,Alaska,West,Prince of Wales-Hyder,5751,49.577262,0.30581,2.284584,0.377766,43245,75.8,80.1,27.7,35.3,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93,8688.93
AK,Alaska,West,Sitka,9046,63.517622,0.48418,4.920617,5.731337,65765,75.8,80.1,24.2,27,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26,7377.26
AK,Alaska,West,Skagway,959,90.082645,0,2.169421,0.516529,69170,75.8,80.1,,30.6,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95,10397.95
AK,Alaska,West,Southeast Fairbanks,7144,78.745198,1.010101,3.329065,0.910514,59641,75.8,80.1,24.4,33,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71,5733.71
AK,Alaska,West,Valdez-Cordova,9717,72.114985,0.466999,3.621835,3.632213,73998,75.8,80.1,20.3,30.4,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88,7733.88
AK,Alaska,West,Wade Hampton,7809,2.667918,0.013407,0.093846,0.227913,30877,75.8,80.1,25.6,34.4,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99,18390.99
AK,Alaska,West,Wrangell,2403,71.718024,0.168848,1.56184,1.350781,52201,75.8,80.1,,29.4,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12,9208.12
AK,Alaska,West,Yakutat,668,40.483384,0.302115,2.567976,4.07855,52595,75.8,80.1,30.7,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
