Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,% Fair/Poor health,POPMaleLifeEx,POPUninsured,POPobesity,POPYPLS,POPDaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
DE,Delaware,Northeast,Kent,167626,65.239973,23.296162,5.758117,2.012199,54271,73.8,79.6,9.2,33.2,8337.8,14.7,12370798.8,1542159.2,5565183.2,1397632063,2464102.2,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8,8337.8
DE,Delaware,Northeast,New Castle,546076,61.624687,23.106936,8.713617,4.295804,64632,75.9,80.5,8.6,26.8,7270.02,11,41447168.4,4696253.6,14634836.8,3969983442,6006836,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02,7270.02
DE,Delaware,Northeast,Sussex,203390,75.59157,12.44972,8.599762,0.96883,53316,75.7,80.6,11.5,31.2,7689.48,14.6,15396623,2338985,6345768,1563963337,2969494,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48,7689.48
DC,District Of Columbia,Northeast,District of Columbia,632323,34.810702,50.031825,9.098705,3.459731,69992,73.7,79.1,5.9,22.1,9869.94,12.2,46602205.1,3730705.7,13974338.3,6240990071,7714340.6,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94,9869.94
FL,Florida,Southeast,Alachua,251417,63.664812,19.980917,8.390206,5.29563,44325,75.5,80.7,16.6,25.3,7186.76,14.6,18981983.5,4173522.2,6360850.1,1806873639,3670688.2,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76,7186.76
FL,Florida,Southeast,Baker,27086,82.437765,13.464872,1.917758,0.475751,47121,68.8,77.3,15.4,37.1,10434.67,28.9,1863516.8,417124.4,1004890.6,282633471.6,782785.4,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67,10434.67
FL,Florida,Southeast,Bay,171903,79.23507,10.567835,4.801246,1.95319,44800,73.5,78.8,18.7,30.2,8801.58,17.1,12634870.5,3214586.1,5191470.6,1513018007,2939541.3,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58,8801.58
FL,Florida,Southeast,Bradford,27049,73.863955,20.255961,3.576438,0.52244,39980,72.7,76.9,17.1,37.2,10109.95,14.7,1966462.3,462537.9,1006222.8,273464037.6,397620.3,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95,10109.95
FL,Florida,Southeast,Brevard,547307,77.564339,9.694392,8.087034,2.042416,47973,75.4,81,17.7,26.5,7700.81,14,41266947.8,9687333.9,14503635.5,4214707219,7662298,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81,7700.81
FL,Florida,Southeast,Broward,1815137,43.523357,25.724258,25.070392,3.185921,51485,77.1,81.9,20.8,23.6,6598.52,13.7,139947062.7,37754849.6,42837233.2,11977217797,24867376.9,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52,6598.52
FL,Florida,Southeast,Calhoun,14723,77.654701,13.613675,5.162393,0.48547,35256,74.2,77.4,19.8,40.7,8142.81,35.8,1092446.6,291515.4,599226.1,119886591.6,527083.4,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81,8142.81
FL,Florida,Southeast,Charlotte,162449,86.029329,5.389491,5.758917,1.177662,43242,75.9,82.6,20.7,26.2,7877.41,20.2,12329879.1,3362694.3,4256163.8,1279677377,3281469.8,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41,7877.41
FL,Florida,Southeast,Citrus,139360,89.601093,2.667167,4.661701,1.401201,36383,72.9,80,18.6,27.1,9905.39,17.3,10159344,2592096,3776656,1380415150,2410928,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39,9905.39
FL,Florida,Southeast,Clay,194345,77.152438,9.475284,7.654101,2.844419,58539,75.3,80.2,14.3,28.5,6979.8,12.5,14634178.5,2779133.5,5538832.5,1356489231,2429312.5,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8,6979.8
FL,Florida,Southeast,Collier,332427,65.674297,6.188729,25.86993,1.054367,58403,80.1,84.6,26.5,18.8,5876.18,16.8,26627402.7,8809315.5,6249627.6,1953400889,5584773.6,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18,5876.18
FL,Florida,Southeast,Columbia,67966,74.743451,17.270587,4.851105,0.90477,38484,72.6,77.7,17,37.4,10274.73,22,4934331.6,1155422,2541928.4,698332299.2,1495252,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73,10274.73
FL,Florida,Southeast,DeSoto,34712,56.075383,12.443348,29.90362,0.484769,36945,76.8,79.3,30.8,35.5,7540.35,16.2,2665881.6,1069129.6,1232276,261740629.2,562334.4,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35,7540.35
FL,Florida,Southeast,Dixie,16126,86.591158,8.305931,3.117769,0.292291,32121,73.4,77.6,18.9,32.6,10743.58,30.6,1183648.4,304781.4,525707.6,173250971.1,493455.6,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58,10743.58
FL,Florida,Southeast,Duval,879602,56.559867,28.933669,7.56691,4.093777,46013,73.8,78.7,15.6,29.5,9150.87,16.9,64914627.6,13721791.2,25948259,8049123554,14865273.8,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87,9150.87
FL,Florida,Southeast,Escambia,302715,66.158747,22.660852,4.724497,2.69304,46139,73.2,78.4,15.8,30.5,9309.7,19.8,22158738,4782897,9232807.5,2818185836,5993757,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7,9309.7
FL,Florida,Southeast,Flagler,98359,76.136934,10.940896,8.622095,2.110851,51556,76.6,81.3,18.6,24.6,6975.64,15.6,7534299.4,1829477.4,2419631.4,686116974.8,1534400.4,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64,6975.64
FL,Florida,Southeast,Franklin,11686,79.556672,13.628886,4.580483,0.225128,36788,74.3,77.9,18.9,31.1,8315.25,22.3,868269.8,220865.4,363434.6,97172011.5,260597.8,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25,8315.25
FL,Florida,Southeast,Gadsden,46528,33.057406,55.791244,9.525965,0.476406,35849,71.5,77.5,20,38.1,10008.35,20.5,3326752,930560,1772716.8,465668508.8,953824,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35,10008.35
FL,Florida,Southeast,Gilchrist,16815,87.856426,5.218726,4.988488,0.348309,40788,73.4,77.6,22.1,31.5,9223.32,17.4,1234221,371611.5,529672.5,155090125.8,292581,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32,9223.32
FL,Florida,Southeast,Glades,13107,61.681155,11.937287,21.111456,0.357032,38783,76.8,79.3,28.2,34.2,8410.58,18.7,1006617.6,369617.4,448259.4,110237472.1,245100.9,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58,8410.58
FL,Florida,Southeast,Gulf,15718,74.89756,18.514783,4.274097,0.258463,38419,74.2,77.4,18.9,32.5,7830.64,18.2,1166275.6,297070.2,510835,123081999.5,286067.6,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64,7830.64
FL,Florida,Southeast,Hamilton,14708,54.895601,34.042841,8.824921,0.493277,31734,73.8,76.8,17.8,32.6,9613.8,26.3,1085450.4,261802.4,479480.8,141399770.4,386820.4,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8,9613.8
FL,Florida,Southeast,Hardee,27514,48.014857,6.768598,42.894234,1.060185,35371,75,78.3,27.2,34.4,8156.12,19.4,2063550,748380.8,946481.6,224407485.7,533771.6,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12,8156.12
FL,Florida,Southeast,Hendry,37447,34.874808,12.920286,49.164538,0.702606,38494,73.4,78,28.9,34.9,8746.5,22.8,2748609.8,1082218.3,1306900.3,327530185.5,853791.6,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5,8746.5
FL,Florida,Southeast,Hernando,173422,82.097837,4.725717,10.299922,1.050481,40094,73.7,80,18.8,31.7,9063.25,21.6,12781201.4,3260333.6,5497477.4,1571766942,3745915.2,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25,9063.25
FL,Florida,Southeast,Highlands,98128,70.661835,8.85753,17.367846,1.419229,35787,75.5,80.3,25.1,32.6,8610.11,21.8,7408664,2463012.8,3198972.8,844892874.1,2139190.4,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11,8610.11
FL,Florida,Southeast,Hillsborough,1277746,53.738287,15.559385,24.945372,3.362116,50758,75.5,80.5,17.8,27.7,7600.89,16.6,96469823,22743878.8,35393564.2,9712006794,21210583.6,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89,7600.89
FL,Florida,Southeast,Holmes,19804,88.934611,5.720881,2.228133,0.41652,35651,71.1,76.4,18.9,32,10322.22,24,1408064.4,374295.6,633728,204421244.9,475296,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22,10322.22
FL,Florida,Southeast,Indian River,140567,77.361115,8.747501,11.204248,1.192512,47548,76.5,82.8,22.8,24.2,7241.68,18.7,10753375.5,3204927.6,3401721.4,1017941233,2628602.9,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68,7241.68
FL,Florida,Southeast,Jackson,48968,66.560125,26.345837,4.307884,0.456318,36876,73.6,78,16,35.6,8765.58,19.6,3604044.8,783488,1743260.8,429232921.4,959772.8,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58,8765.58
FL,Florida,Southeast,Jefferson,14256,58.722309,35.858004,3.698936,0.331956,40205,73.7,77.9,17.3,33.6,9286.88,22,1050667.2,246628.8,479001.6,132393761.3,313632,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88,9286.88
FL,Florida,Southeast,Lafayette,8804,70.642616,15.738444,12.130778,0.146561,38071,72.7,78.6,24.2,36.8,8378.94,23.1,640050.8,213056.8,323987.2,73768187.76,203372.4,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94,8378.94
FL,Florida,Southeast,Lake,303186,74.520623,9.357284,12.12212,1.701722,46895,75.8,81.3,20,30,7563.07,15.3,22981498.8,6063720,9095580,2293016941,4638745.8,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07,7563.07
FL,Florida,Southeast,Lee,645293,70.956794,7.717283,18.312286,1.333648,49147,78,83.2,23.5,25.5,6664.54,13.5,50332854,15164385.5,16454971.5,4300581010,8711455.5,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54,6664.54
FL,Florida,Southeast,Leon,283769,59.343272,29.905585,5.575944,2.885799,45463,76.6,80.8,13.8,28.1,6405.1,9.9,21736705.4,3916012.2,7973908.9,1817568822,2809313.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1,6405.1
FL,Florida,Southeast,Levy,40025,80.777432,9.205657,7.467954,0.55881,37433,72.4,78.2,22.6,32.1,9696.87,20,2897810,904565,1284802.5,388117221.8,800500,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87,9696.87
FL,Florida,Southeast,Liberty,8276,73.628213,17.597131,6.192469,0.191273,38473,74.3,77.9,18.4,39.1,7537.01,14.3,614906.8,152278.4,323591.6,62376294.76,118346.8,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01,7537.01
FL,Florida,Southeast,Madison,18907,55.045776,38.613192,4.676446,0.223679,33017,73.8,76.8,18.4,34,9613.35,18.4,1395336.6,347888.8,642838,181759608.5,347888.8,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35,9613.35
FL,Florida,Southeast,Manatee,333895,73.397081,8.434082,14.854429,1.611669,51673,76.7,82.3,20.9,24.1,7680.8,15.7,25609746.5,6978405.5,8046869.5,2564580716,5242151.5,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8,7680.8
FL,Florida,Southeast,Marion,335125,73.992599,11.8736,10.907702,1.309093,39860,74.3,80.3,21.4,29,8848.36,19.2,24899787.5,7171675,9718625,2965306645,6434400,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36,8848.36
FL,Florida,Southeast,Martin,148817,80.326412,5.121038,12.220643,1.031999,55472,78.2,83.2,19.9,19.4,6379.66,14.7,11637489.4,2961458.3,2887049.8,949401862.2,2187609.9,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66,6379.66
FL,Florida,Southeast,Miami-Dade,2591035,15.363949,17.050314,65.047117,1.435687,42754,77.5,83.4,25.5,19.5,5916.41,16.3,200805212.5,66071392.5,50525182.5,15329625384,42233870.5,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41,5916.41
FL,Florida,Southeast,Monroe,74809,71.266931,5.268847,20.619784,1.069914,57411,74.7,82.3,22.5,21.4,8352.5,9.9,5588232.3,1683202.5,1600912.6,624842172.5,740609.1,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5,8352.5
FL,Florida,Southeast,Nassau,74629,87.85498,6.248466,3.24631,0.844314,56728,75.2,79.6,14.7,28.1,8278.21,14.6,5612100.8,1097046.3,2097074.9,617794534.1,1089583.4,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21,8278.21
FL,Florida,Southeast,Okaloosa,190083,77.147692,9.03264,6.800058,2.869673,55952,75.3,80,16.5,25.3,7345.14,18,14313249.9,3136369.5,4809099.9,1396186247,3421494,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14,7345.14
FL,Florida,Southeast,Okeechobee,39467,65.651565,7.793279,23.90489,0.862586,37065,73.6,77.3,27.1,30.9,9881.32,24.3,2904771.2,1069555.7,1219530.3,389986056.4,959048.1,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32,9881.32
FL,Florida,Southeast,Orange,1202234,45.966337,19.477188,26.898415,4.846696,47069,76.7,81.5,20.2,23.6,6647.12,15.3,92211347.8,24285126.8,28372722.4,7991393666,18394180.2,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12,6647.12
FL,Florida,Southeast,Osceola,287416,40.304446,9.119601,45.46067,2.649943,42945,76.9,81.4,21.8,29.2,6564.85,19.7,22102290.4,6265668.8,8392547.2,1886842928,5662095.2,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85,6564.85
FL,Florida,Southeast,Palm Beach,1356545,60.112913,16.756557,18.999814,2.314083,52225,78.1,83.5,21.2,22.9,6874.48,12.4,105946164.5,28758754,31064880.5,9325541472,16821158,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48,6874.48
FL,Florida,Southeast,Pasco,470391,80.103594,4.090838,11.735819,2.067799,45219,74.3,80.3,18.1,30.3,8716.34,18.8,34950051.3,8514077.1,14252847.3,4100087889,8843350.8,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34,8716.34
FL,Florida,Southeast,Pinellas,921319,76.896203,10.029219,7.991014,2.91847,45162,74.7,80.5,17.7,24.5,8617.03,13.9,68822529.3,16307346.3,22572315.5,7939033463,12806334.1,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03,8617.03
FL,Florida,Southeast,Polk,616158,64.569379,14.173179,17.693553,1.588952,42768,75.4,80.8,19.6,31.2,7926.47,20.6,46458313.2,12076696.8,19224129.6,4883957902,12692854.8,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47,7926.47
FL,Florida,Southeast,Putnam,73263,72.590232,15.924372,9.017804,0.597063,32054,71,77.8,21.6,35.2,11113.79,27.2,5201673,1582480.8,2578857.6,814229596.8,1992753.6,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79,11113.79
FL,Florida,Southeast,St. Johns,202188,85.347744,5.466246,5.247344,2.028005,66560,78.2,82.6,13.2,22.9,5974.71,11.6,15811101.6,2668881.6,4630105.2,1208014665,2345380.8,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71,5974.71
FL,Florida,Southeast,St. Lucie,283866,61.209047,18.493533,16.557531,1.521299,42722,76.4,81.6,21,28.8,7407.46,17.7,21687362.4,5961186,8175340.8,2102726040,5024428.2,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46,7407.46
FL,Florida,Southeast,Santa Rosa,158512,85.039505,5.245356,4.298681,1.777079,58587,75.2,80.3,15.1,25.9,6943.1,12.1,11920102.4,2393531.2,4105460.8,1100564667,1917995.2,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1,6943.1
FL,Florida,Southeast,Sarasota,386147,84.854315,4.48968,7.914919,1.269739,52109,77.5,83.4,19.8,21.1,7157.74,12.1,29926392.5,7645710.6,8147701.7,2763939828,4672378.7,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74,7157.74
FL,Florida,Southeast,Seminole,430838,66.344939,10.455197,17.140742,3.655155,56443,77.1,81.9,15.5,24.5,6058.34,12.9,33217609.8,6677989,10555531,2610163089,5557810.2,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34,6058.34
FL,Florida,Southeast,Sumter,101620,82.785271,9.351317,5.975166,0.651895,51907,78.3,82.5,16.1,28.4,7954.82,14.8,7956846,1636082,2886008,808368808.4,1503976,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82,7954.82
FL,Florida,Southeast,Suwannee,43656,77.735795,11.301774,8.654425,0.53669,38177,72.7,78.6,21,33.1,9818.06,23,3173791.2,916776,1445013.6,428617227.4,1004088,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06,9818.06
FL,Florida,Southeast,Taylor,22744,73.030572,20.509526,3.442623,0.660168,36374,73.7,77.9,17.5,38.7,9368.93,24,1676232.8,398020,880192.8,213086943.9,545856,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93,9368.93
FL,Florida,Southeast,Union,15212,71.599614,21.82813,4.782749,0.205986,40207,68.8,77.3,14.8,39.1,16608.17,21.5,1046585.6,225137.6,594789.2,252643482,327058,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17,16608.17
FL,Florida,Southeast,Volusia,496950,75.411904,10.017934,11.164129,1.48971,40881,73.7,80.5,21.4,27.5,8974.96,20.9,36625215,10634730,13666125,4460106372,10386255,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96,8974.96
FL,Florida,Southeast,Wakulla,30818,79.516506,14.31635,3.301274,0.539381,51642,75,79,14.8,36.3,7445.4,18.7,2311350,456106.4,1118693.4,229452337.2,576296.6,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4,7445.4
FL,Florida,Southeast,Walton,57582,85.127991,5.717348,5.30676,0.89203,46867,74,79.5,21.7,27.2,9002.14,20.3,4261068,1249529.4,1566230.4,518361225.5,1168914.6,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14,9002.14
FL,Florida,Southeast,Washington,24892,78.530688,14.853792,2.944248,0.526189,36482,71.7,77.2,19,38.8,10552.98,34.9,1784756.4,472948,965809.6,262684778.2,868730.8,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98,10552.98
GA,Georgia,Southeast,Appling,18368,70.486949,18.425093,9.344154,0.685457,36642,70.4,76.1,20.9,35.2,11116.26,23.9,1293107.2,383891.2,646553.6,204183463.7,438995.2,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26,11116.26
GA,Georgia,Southeast,Atkinson,8284,57.026866,17.050746,24.346269,0.202985,31740,70.6,75.6,27.9,35.7,10393.8,29.6,584850.4,231123.6,295738.8,86102239.2,245206.4,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8,10393.8
GA,Georgia,Southeast,Bacon,11198,75.982336,15.284787,7.128695,0.306417,34201,69.8,77.2,22,31.4,10791.92,13.2,781620.4,246356,351617.2,120847920.2,147813.6,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92,10791.92
GA,Georgia,Southeast,Baker,3366,47.580411,46.363373,4.201681,0.695451,43115,72.9,76.3,19.1,32.3,9015.07,0,245381.4,64290.6,108721.8,30344725.62,0,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07,9015.07
GA,Georgia,Southeast,Baldwin,46367,54.033246,41.264217,2.010061,1.268591,37008,73,78.8,16.4,33.9,7889.11,29,3384791,760418.8,1571841.3,365794363.4,1344643,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11,7889.11
GA,Georgia,Southeast,Banks,18316,89.83963,2.261484,5.659147,0.896983,46018,73.3,79.5,20.1,26.8,8052.25,16,1342562.8,368151.6,490868.8,147485011,293056,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25,8052.25
GA,Georgia,Southeast,Barrow,70169,74.583015,11.19985,8.702986,3.400753,49698,73.2,79.1,18.4,35.3,7970.84,17.8,5136370.8,1291109.6,2476965.7,559305872,1249008.2,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84,7970.84
